Cross-Validated Accuracy,0.597038191738
Precision,0.76261682243,0.611413043478,nan,0.479188900747,0.674063800277,0.54971240756,0.66149506347,0.82421875,0.5442043222
Recall,0.731182795699,0.890501319261,0.0,0.635077793494,0.631168831169,0.748322147651,0.655944055944,0.323124042879,0.355128205128
Confusion Matrix
a,b,c,e,f,g,h,m,n
408.0,4.0,0.0,0.0,22.0,58.0,30.0,13.0,0.0
5.0,675.0,14.0,118.0,5.0,25.0,0.0,90.0,172.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,10.0,449.0,3.0,13.0,0.0,171.0,277.0
0.0,10.0,52.0,11.0,486.0,108.0,0.0,26.0,28.0
14.0,50.0,20.0,10.0,208.0,669.0,216.0,28.0,2.0
131.0,0.0,0.0,0.0,0.0,19.0,469.0,90.0,0.0
0.0,0.0,3.0,17.0,0.0,1.0,0.0,211.0,24.0
0.0,5.0,54.0,102.0,46.0,1.0,0.0,24.0,277.0
